Race_ID,Race_Name,Driver_ID,Driver_Ref,Pit_Stop_Count,Pitted_On_Lap,Pit_Stop_Duration,Avg_Pit_Stop_Secs,Grid,Constructor_ID,Constructor_Nationality,Constructor_Name,Circuit_ID,Circuit_Name,Circuit_Country,Altitude_Metres,Race_Year,Status_ID,Race_Finish_Status,Fastest_Lap_Speed_KMH,Driver_Total_Points,Driver_Overall_Standing,Driver_Total_Wins,Avg_Lap_Time_Secs
962,Singapore Grand Prix,815,perez,2.0,25,28.742,28,17.0,10,Indian,Force India,15,Marina Bay Street Circuit,Singapore,18,2016,1,Finished,163.508,66,8,0,115.0
968,Abu Dhabi Grand Prix,13,massa,2.0,30,21.539,21,10.0,3,British,Williams,24,Yas Marina Circuit,UAE,3,2016,1,Finished,189.206,53,11,0,107.0
1020,German Grand Prix,825,kevin_magnussen,5.0,45,20.285,20,12.0,210,American,Haas F1 Team,10,Hockenheimring,Germany,103,2019,1,Finished,212.45,18,13,0,97.0
897,Abu Dhabi Grand Prix,13,massa,2.0,38,22.315,22,7.0,6,Italian,Ferrari,24,Yas Marina Circuit,UAE,3,2013,1,Finished,189.615,106,8,0,108.0
997,Austrian Grand Prix,842,gasly,1.0,15,22.011,22,12.0,5,Italian,Toro Rosso,70,Red Bull Ring,Austria,678,2018,11,+1 Lap,224.327,18,13,0,70.0
1047,Abu Dhabi Grand Prix,826,kvyat,1.0,10,25.724,25,7.0,213,Italian,AlphaTauri,24,Yas Marina Circuit,UAE,3,2020,11,+1 Lap,194.679,32,14,0,106.0
914,Japanese Grand Prix,20,vettel,2.0,12,23.764,23,9.0,9,Austrian,Red Bull,22,Suzuka Circuit,Japan,45,2014,1,Finished,186.795,139,4,0,152.0
909,German Grand Prix,825,kevin_magnussen,3.0,53,19.427,19,4.0,1,British,McLaren,10,Hockenheimring,Germany,103,2014,11,+1 Lap,205.255,37,9,0,84.0
1023,Italian Grand Prix,825,kevin_magnussen,1.0,20,24.4,24,11.0,210,American,Haas F1 Team,14,Autodromo Nazionale di Monza,Italy,162,2019,9,Hydraulics,246.968,18,16,0,88.0
903,Chinese Grand Prix,155,kobayashi,1.0,11,24.883,24,18.0,207,Malaysian,Caterham,17,Shanghai International Circuit,China,5,2014,11,+1 Lap,189.924,0,19,0,106.0
1006,United States Grand Prix,839,ocon,1.0,22,24.534,24,6.0,10,Indian,Force India,69,Circuit of the Americas,USA,161,2018,2,Disqualified,0.0,49,11,0,102.0
1003,Singapore Grand Prix,807,hulkenberg,1.0,15,31.183,31,10.0,4,French,Renault,15,Marina Bay Street Circuit,Singapore,18,2018,11,+1 Lap,171.8,53,7,0,111.0
984,Japanese Grand Prix,830,max_verstappen,1.0,21,22.62,22,4.0,9,Austrian,Red Bull,22,Suzuka Circuit,Japan,45,2017,1,Finished,223.036,111,6,1,98.0
904,Spanish Grand Prix,820,chilton,2.0,31,23.232,23,17.0,206,Russian,Marussia,4,Circuit de Barcelona-Catalunya,Spain,109,2014,12,+2 Laps,182.614,0,18,0,95.0
896,Indian Grand Prix,814,resta,1.0,1,23.662,23,12.0,10,Indian,Force India,68,Buddh International Circuit,India,194,2013,1,Finished,206.606,40,10,0,91.0
896,Indian Grand Prix,20,vettel,2.0,31,23.568,23,1.0,9,Austrian,Red Bull,68,Buddh International Circuit,India,194,2013,1,Finished,209.383,322,1,10,90.0
931,Monaco Grand Prix,826,kvyat,1.0,28,25.119,25,5.0,9,Austrian,Red Bull,6,Circuit de Monaco,Monaco,7,2015,1,Finished,151.815,17,8,0,83.0
884,Spanish Grand Prix,814,resta,1.0,9,20.615,20,10.0,10,Indian,Force India,4,Circuit de Barcelona-Catalunya,Spain,109,2013,1,Finished,193.117,26,8,0,90.0
985,United States Grand Prix,840,stroll,2.0,36,24.497,24,15.0,3,British,Williams,69,Circuit of the Americas,USA,161,2017,11,+1 Lap,199.133,32,12,0,102.0
1034,British Grand Prix,830,max_verstappen,2.0,50,28.273,28,3.0,9,Austrian,Red Bull,9,Silverstone Circuit,UK,153,2020,1,Finished,243.494,52,3,0,101.0
970,Chinese Grand Prix,807,hulkenberg,3.0,5,17.362,17,7.0,4,French,Renault,17,Shanghai International Circuit,China,5,2017,11,+1 Lap,200.21,0,13,0,107.0
1035,70th Anniversary Grand Prix,849,latifi,1.0,9,28.696,28,18.0,3,British,Williams,9,Silverstone Circuit,UK,153,2020,11,+1 Lap,235.77,0,19,0,93.0
888,German Grand Prix,824,jules_bianchi,1.0,5,20.84,20,19.0,206,Russian,Marussia,20,N++rburgring,Germany,578,2013,5,Engine,185.617,0,19,0,102.0
1027,Mexican Grand Prix,826,kvyat,2.0,44,22.033,22,9.0,5,Italian,Toro Rosso,32,Aut+¦dromo Hermanos Rodr+¡guez,Mexico,2227,2019,11,+1 Lap,193.91,34,13,0,82.0
995,Canadian Grand Prix,20,vettel,1.0,37,23.529,23,1.0,6,Italian,Ferrari,7,Circuit Gilles Villeneuve,Canada,13,2018,1,Finished,212.26,121,1,3,77.0
887,British Grand Prix,17,webber,2.0,31,24.781,24,4.0,9,Austrian,Red Bull,9,Silverstone Circuit,UK,153,2013,1,Finished,227.059,87,5,0,106.0
1054,Portuguese Grand Prix,849,latifi,2.0,3,21.73,21,18.0,3,British,Williams,75,Aut+¦dromo Internacional do Algarve,Portugal,108,2021,12,+2 Laps,201.44,0,20,0,88.0
1020,German Grand Prix,840,stroll,3.0,28,21.962,21,15.0,211,British,Racing Point,10,Hockenheimring,Germany,103,2019,1,Finished,211.566,18,12,0,97.0
